"","Name","Age","Since","Current.Position","company_code","company_name"
"1033","Ruba Borno",37,2018,"Non-Executive Independent Director","EXPN","EXPERIAN"
"1034","Caroline Donahue",57,2017,"Non-Executive Independent Director","EXPN","EXPERIAN"
"1035","Luiz Fleury",61,2015,"Independent Non-Executive Director","EXPN","EXPERIAN"
"1036","Deirdre Mahlan",55,2012,"Independent Non-Executive Director","EXPN","EXPERIAN"
"1037","Nadia Ridout-Jamieson",NA,NA,"Chief Communications Officer","EXPN","EXPERIAN"
"1038","Simon Fraser",60,2010,"Non-Executive Independent Chairman of the Board","FCIT","F &C IV.TST"
"1039","Sarah Arkle",NA,2011,"Non-Executive Independent Director","FCIT","F &C IV.TST"
"1040","Roger Bone",72,2016,"Senior Independent Non-Executive Director","FCIT","F &C IV.TST"
"1041","Francesca Ecsery",52,2013,"Non-Executive Independent Director","FCIT","F &C IV.TST"
"1042","Jeffrey Hewitt",67,2010,"Non-Executive Independent Director","FCIT","F &C IV.TST"
"1043","Beatrice Hollond",57,2017,"Non-Executive Independent Director","FCIT","F &C IV.TST"
"1044","Edward Knapp",NA,2016,"Non-Executive Independent Director","FCIT","F &C IV.TST"
"1045","Nicholas Moakes",49,2011,"Non-Executive Independent Director","FCIT","F &C IV.TST"
"1046","David Lister",NA,2019,"Non-Executive independent Chairman of the Board","FDM","FDM GROUP HLDG"
"1047","Roderick Flavell",61,NA,"Chief Executive Officer, Director","FDM","FDM GROUP HLDG"
"1048","Michael McLaren",58,NA,"Chief Financial Officer, Executive Director","FDM","FDM GROUP HLDG"
"1049","Sheila Flavell",63,NA,"Chief Operating Officer, Executive Director","FDM","FDM GROUP HLDG"
"1050","Andrew Brown",47,NA,"Executive Director, Chief Commercial Officer","FDM","FDM GROUP HLDG"
"1051","Jonathan Heather",NA,2016,"Secretary, IR Contact Officer","FDM","FDM GROUP HLDG"
"1052","Michelle De Fonseca",NA,2016,"Non-Executive Independent Director","FDM","FDM GROUP HLDG"
"1053","Robin Taylor",68,NA,"Non-Executive Independent Director","FDM","FDM GROUP HLDG"
"1054","Peter Whiting",NA,2014,"Senior Non-Executive Independent Director","FDM","FDM GROUP HLDG"
"1055","Stephen Lucas",NA,2016,"Non-Executive Chairman of the Board","FXPO","FERREXPO"
"1056","Kostyantyn Zhevago",45,2008,"Chief Executive Officer, Executive Director","FXPO","FERREXPO"
"1057","Christopher Mawe",57,2008,"Group Chief Financial Officer, Executive Director","FXPO","FERREXPO"
"1058","Nikolay Goroshko",NA,2012,"General Director of Ferrexpo Yeristovo Mining","FXPO","FERREXPO"
"1059","Nikolay Kladiev",NA,NA,"Chief Financial Officer of Ferrexpo Poltava Mining","FXPO","FERREXPO"
"1060","Viktor Lotous",55,NA,"Chief Operating Officer and Head of Managing Board, Ferrexpo Poltava Mining","FXPO","FERREXPO"
"1061","James North",NA,2014,"Group Chief Operating Officer","FXPO","FERREXPO"
"1062","Jason Keys",NA,2011,"Group Chief Marketing Officer","FXPO","FERREXPO"
"1063","Greg Nortje",NA,NA,"Group Head of Human Resources","FXPO","FERREXPO"
"1064","Brian Maynard",NA,2019,"Interim Company Secretary","FXPO","FERREXPO"
"1065","Lucio Genovese",NA,2019,"Non-Executive Director","FXPO","FERREXPO"
"1066","Vitalii Lisovenko",NA,2016,"Independent Non-Executive Director","FXPO","FERREXPO"
"1067","Ingrid McMahon",NA,2014,"Head of Investor Relations and Corporate Communications","FXPO","FERREXPO"
"1068","Vivian Bazalgette",67,2016,"Non-Executive Independent Chairman of the Board","FEV","FID.EURO.VAL."
"1069","Fleur Meijs",NA,2017,"Independent Non-Executive Director","FEV","FID.EURO.VAL."
"1070","Paul Yates",61,2017,"Independent Non-Executive Director","FEV","FID.EURO.VAL."
"1071","Robin Niblett",NA,2010,"Non-Executive Independent Director","FEV","FID.EURO.VAL."
"1072","James Robinson",NA,2014,"Senior Non-Executive Independent Director","FEV","FID.EURO.VAL."
"1073","Marion Sears",55,2014,"Non-Executive Independent Director","FEV","FID.EURO.VAL."
"1074","Andrew Irvine",NA,2016,"Non-Executive Independent Chairman of the Board","FSV","FID.SP.VAL."
"1075","Claire Boyle",NA,2019,"Non-Executive Independent Director","FSV","FID.SP.VAL."
"1076","Sharon Brown",NA,2016,"Senior Independent Non-Executive Director","FSV","FID.SP.VAL."
"1077","Dean Buckley",NA,2015,"Non-Executive Independent Director","FSV","FID.SP.VAL."
"1078","Nigel Foster",NA,2015,"Non-Executive Independent Director","FSV","FID.SP.VAL."
"1079","Nicky McCabe",NA,2004,"Non-Executive Independent Director","FSV","FID.SP.VAL."
"1080","Nicholas Bull",NA,2016,"Non-Executive Independent Chairman of the Board","FCSS","FIDELITY CHINA"
"1081","Mike Balfour",NA,2018,"Non-Executive Director","FCSS","FIDELITY CHINA"
"1082","Peter Pleydell-Bouverie",NA,2010,"Non-Executive Independent Director","FCSS","FIDELITY CHINA"
"1083","Elisabeth Scott",55,2016,"Senior Independent Non-Executive Director","FCSS","FIDELITY CHINA"
"1084","John Townsend",70,2008,"Non-Executive Independent Chairman of the Board","FGT","FINSBURY GTH."
"1085","Neil Collins",71,2008,"Non-Executive Independent Director","FGT","FINSBURY GTH."
"1086","Kate Cornish-Bowden",52,2017,"Non-Executive Independent Director","FGT","FINSBURY GTH."
"1087","Simon Hayes",48,2015,"Non-Executive Independent Director","FGT","FINSBURY GTH."
"1088","David Hunt",71,2006,"Senior Non-Executive Independent Director","FGT","FINSBURY GTH."
"1089","Lorna Tilbian",61,2017,"Non-Executive Independent Director","FGT","FINSBURY GTH."
"1090","David Martin",65,2019,"Chairman of the Board","FGP","FIRSTGROUP"
"1091","Matthew Gregory",NA,2018,"Chief Executive, Chief Financial Officer, Interim Chief Operating Officer, Executive Director","FGP","FIRSTGROUP"
"1092","Ryan Mangold",NA,2019,"Chief Financial Officer","FGP","FIRSTGROUP"
"1093","Dave Leach",NA,NA,"President, Greyhound","FGP","FIRSTGROUP"
"1094","Dennis Maple",NA,NA,"President, First Student","FGP","FIRSTGROUP"
"1095","Brad Thomas",NA,NA,"President, First Transit","FGP","FIRSTGROUP"
"1096","Michael Hampson",NA,2016,"General Counsel, Company Secretary","FGP","FIRSTGROUP"
"1097","Giles Fearnley",NA,2011,"Managing Director, First Bus","FGP","FIRSTGROUP"
"1098","Steve Montgomery",NA,NA,"Managing Director, First Rail","FGP","FIRSTGROUP"
"1099","Constance Baroudel",NA,NA,"Director of Strategy & Operational Performance","FGP","FIRSTGROUP"
"1100","Rachael Borthwick",NA,NA,"Group Corporate Services Director","FGP","FIRSTGROUP"
"1101","Jimmy Groombridge",NA,2017,"Group Employee Director","FGP","FIRSTGROUP"
"1102","Warwick Brady",NA,2014,"Non-Executive Independent Director","FGP","FIRSTGROUP"
"1103","Steve Gunning",NA,2019,"Non-Executive Independent Director","FGP","FIRSTGROUP"
"1104","Martha Poulter",NA,2017,"Non-Executive Independent Director","FGP","FIRSTGROUP"
"1105","David Robbie",58,2019,"Senior Independent Non-Executive Director","FGP","FIRSTGROUP"
"1106","Julia Steyn",NA,2019,"Non-Executive Independent Director","FGP","FIRSTGROUP"
"1107","Imelda Walsh",55,2014,"Non-Executive Independent Director","FGP","FIRSTGROUP"
"1108","James Winestock",68,2012,"Non-Executive Independent Director","FGP","FIRSTGROUP"
"1109","Faisal Tabbah",NA,2017,"Head of Investor Relations","FGP","FIRSTGROUP"
"1110","Malcolm Paul",NA,2018,"Chairman of the Board","FSJ","FISHER(J)& SONS"
"1111","Nicholas Henry",54,2004,"Chief Executive Officer, Executive Director","FSJ","FISHER(J)& SONS"
"1112","Stuart Kilpatrick",NA,2010,"Group Finance Director, Executive Director","FSJ","FISHER(J)& SONS"
"1113","Fergus Graham",NA,2018,"Executive Director","FSJ","FISHER(J)& SONS"
"1114","J Marsh",NA,2018,"Company Secretary","FSJ","FISHER(J)& SONS"
"1115","Justin Atkinson",58,2018,"Non-Executive Director","FSJ","FISHER(J)& SONS"
"1116","Inken Braunschmidt",NA,2019,"Independent Non-Executive Director","FSJ","FISHER(J)& SONS"
"1117","Aedamar Comiskey",NA,2019,"Senior Non-Executive Independent Director","FSJ","FISHER(J)& SONS"
"1118","Michael Salter",NA,2013,"Non-Executive Independent Director","FSJ","FISHER(J)& SONS"
"1119","Alberto Bailleres Gonzalez",87,2008,"Non-Executive Chairman of the Board","FRES","FRESNILLO"
"1120","Octavio Alvidrez",NA,2014,"Chief Executive Officer","FRES","FRESNILLO"
"1121","Alejandro Bailleres",NA,2018,"Non-Executive Non-Independent Deputy Chairman of the Board","FRES","FRESNILLO"
"1122","Mario Arreguin Frade",NA,2012,"Chief Financial Officer","FRES","FRESNILLO"
"1123","Andre Sougarret Larroquete",53,2019,"Chief Operating Officer","FRES","FRESNILLO"
"1124","David Giles",NA,NA,"Vice President - Exploration","FRES","FRESNILLO"
"1125","Juan Bordes Aznar",NA,2008,"Non-Executive Non-Independent Director","FRES","FRESNILLO"
"1126","Arturo Manuel Fernandez Perez",NA,2008,"Non-Executive Non-independent Director","FRES","FRESNILLO"
"1127","Barbara Garza Laguera Gonda",59,2014,"Non-Executive Independent Director","FRES","FRESNILLO"
"1128","Charles Jacobs",NA,2016,"Senior Independent Non-Executive Director","FRES","FRESNILLO"
"1129","Georgina Y. Kessel Martinez",69,2018,"Non-Executive Independent Director","FRES","FRESNILLO"
"1130","Jaime Lomelin Guillen",NA,2017,"Non-Executive Independent Director","FRES","FRESNILLO"
"1131","Dame Macgregor",NA,2018,"Non-Executive Independent Director","FRES","FRESNILLO"
"1132","Fernando Ruiz Sahagun",NA,2008,"Non-Executive Independent Director","FRES","FRESNILLO"
"1133","Alberto Tiburcio",NA,2016,"Non-Executive Independent Director","FRES","FRESNILLO"
"1134","Richard Huntingford",63,2018,"Independent Non-Executive Chairman of the Board","FUTR","FUTURE"
"1135","Zillah Byng-Maddick",NA,2014,"Chief Executive Officer, Executive Director","FUTR","FUTURE"
"1136","Penelope Ladkin-Brand",39,2015,"Chief Financial Officer","FUTR","FUTURE"
"1137","Hugo Drayton",NA,2014,"Non-Executive Independent Director","FUTR","FUTURE"
"1138","Rob Hattrell",NA,2018,"Non-Executive Independent Director","FUTR","FUTURE"
"1139","Alan Newman",NA,2018,"Non-Executive Independent Director","FUTR","FUTURE"
"1140","John Connolly",66,2012,"Independent Non-Executive Chairman of the Board","GFS","G4S"
"1141","Ashley Almanza",54,2013,"Chief Executive Officer, Executive Director","GFS","G4S"
"1142","Tim Weller",NA,2016,"Chief Financial Officer, Executive Director","GFS","G4S"
"1143","Mel Brooks",NA,2015,"Regional President - Africa","GFS","G4S"
"1144","John Kenning",49,2018,"Regional Chief Executive Officer of Americas","GFS","G4S"
"1145","Graham Levinsohn",NA,2017,"Regional Chief Executive Officer - Europe and Middle East","GFS","G4S"
"1146","Peter Neden",NA,2018,"Divisional Chief Executive Officer, Care & Justice Services & UK Facilities Management","GFS","G4S"
"1147","Jesus Rosano",NA,2018,"Divisional Chief Executive Officer, Global Cash Solutions","GFS","G4S"
"1148","Sanjay Verma",NA,2018,"Regional President, Asia","GFS","G4S"
"1149","Debbie Walker",NA,NA,"Group Corporate Affairs Director","GFS","G4S"
"1150","Soren Lundsberg-Nielsen",NA,NA,"Group General Counsel","GFS","G4S"
"1151","Jenni Myles",NA,2015,"Group Director of Human Resources","GFS","G4S"
"1152","Celine Barroche",NA,NA,"Company Secretary","GFS","G4S"
"1153","Elisabeth Fleuriot",NA,2018,"Non-Executive Director","GFS","G4S"
"1154","Steven Mogford",NA,2016,"Senior Non-Executive Independent Director","GFS","G4S"
"1155","John Ramsay",61,2018,"Independent Non-Executive Director","GFS","G4S"
"1156","Paul Spence",58,2013,"Independent Non-Executive Director","GFS","G4S"
"1157","Barbara Thoralfsson",59,2016,"Independent Non-Executive Director","GFS","G4S"
"1158","Kin Wah Fok",62,2010,"Independent Non-Executive Director","GFS","G4S"
"1159","Helen Parris",NA,2018,"Director of Investor Relations","GFS","G4S"
"1160","Peter Ventress",NA,2016,"Non-Executive Chairman of the Board","GFRD","GALLIFORD TRY"
"1161","Graham Prothero",56,2019,"Chief Executive Officer, Executive Director","GFRD","GALLIFORD TRY"
"1162","Andrew Duxbury",NA,2019,"Group Finance Director, Executive Director","GFRD","GALLIFORD TRY"
"1163","Andrew Hammond",48,2016,"Divisional Chairman of West Division Linden Homes","GFRD","GALLIFORD TRY"
"1164","Bill Hocking",53,2016,"Chief Executive of Construction and Investments","GFRD","GALLIFORD TRY"
"1165","Tom Nicholson",53,2016,"Divisional Chairman of Linden Homes","GFRD","GALLIFORD TRY"
"1166","Kevin Corbett",58,2016,"General Counsel, Company Secretary","GFRD","GALLIFORD TRY"
"1167","Stephen Teagle",58,2016,"Chief Executive - Partnerships & Regeneration","GFRD","GALLIFORD TRY"
"1168","Marisa Cassoni",66,2018,"Non-Executive Director","GFRD","GALLIFORD TRY"
"1169","Gavin Slark",53,2015,"Non-Executive Director","GFRD","GALLIFORD TRY"
"1170","Jeremy Townsend",54,2017,"Non-Executive Director","GFRD","GALLIFORD TRY"
"1171","Terry Miller",66,2016,"Senior Independent Non-Executive Director","GFRD","GALLIFORD TRY"
"1172","Nicholas Donaldson",64,2017,"Non-Executive Chairman of the Board","GAW","GAMES WORKSHOP"
"1173","Kevin Derek Rountree",48,2015,"Chief Executive Officer, Chief Operating Officer, Executive Director","GAW","GAMES WORKSHOP"
"1174","Rachel Tongue",47,2015,"Group Finance Director, Company Secretary","GAW","GAMES WORKSHOP"
"1175","Christopher John Myatt",74,NA,"Senior Lead Independent Director","GAW","GAMES WORKSHOP"
"1176","John Brewis",51,2018,"Non-Executive Director","GAW","GAMES WORKSHOP"
"1177","Karen Marsh",57,2019,"Non-Executive Director","GAW","GAMES WORKSHOP"
"1178","Elaine O'Donnell",47,2013,"Non-Executive Director","GAW","GAMES WORKSHOP"
"1179","Helene Ploix",74,2015,"Non-Executive Independent Chairman of the Board","GSS","GENESIS E.M.F."
"1180","Sujit Banerji",NA,2013,"Non-Executive Independent Director","GSS","GENESIS E.M.F."
"1181","Simon Colson",NA,2019,"Non-Executive Independent Director","GSS","GENESIS E.M.F."
"1182","Russell Edey",76,2016,"Senior Non-Executive Independent Director","GSS","GENESIS E.M.F."
"1183","Saffet Karpat",NA,2011,"Non-Executive Independent Director","GSS","GENESIS E.M.F."
"1184","Katherine Tsang",61,2017,"Non-Executive Independent Director","GSS","GENESIS E.M.F."
"1185","Robert Lawson",72,2010,"Non-Executive Independent Chairman of the Board","GNS","GENUS"
"1186","Karim Bitar",NA,2011,"Chief Executive, Executive Director","GNS","GENUS"
"1187","Stephen Wilson",NA,2013,"Group Finance Director, Executive Director","GNS","GENUS"
"1188","Jonathan Lightner",NA,2018,"Chief Research & Development and Scientific Officer","GNS","GENUS"
"1189","Dan Hartley",NA,2014,"Group General Counsel & Company Secretary","GNS","GENUS"
"1190","Angelle Rosata",NA,2017,"Group Human Resources Director","GNS","GENUS"
"1191","Bill Christianson",NA,2013,"Chief Operating Officer - Genus PIC","GNS","GENUS"
"1192","Jerry Thompson",NA,2016,"Chief Operating Officer - Genus ABS Beef","GNS","GENUS"
"1193","Nate Zwald",NA,2017,"Chief Operating Officer - Genus ABS Dairy","GNS","GENUS"
"1194","Ian Charles",NA,2018,"Non-Executive Independent Director","GNS","GENUS"
"1195","Lysanne Gray",NA,2016,"Non-Executive Independent Director","GNS","GENUS"
"1196","Lesley Knox",65,2018,"Non-Executive Independent Director","GNS","GENUS"
"1197","Lykele Van der Broek",NA,2014,"Non-Executive Independent Director","GNS","GENUS"
"1198","Charles Ryland",NA,2017,"IR Contact Officer","GNS","GENUS"
"1199","Philip Hampton",65,2015,"Non-Executive Chairman of the Board","GSK","GLAXOSMITHKLINE"
"1200","Emma Walmsley",49,2017,"Chief Executive Officer, Executive Director","GSK","GLAXOSMITHKLINE"
"1201","Iain Mackay",57,2019,"Chief Financial Officer, Executive Director","GSK","GLAXOSMITHKLINE"
"1202","Roger Connor",NA,2018,"President - Vaccines","GSK","GLAXOSMITHKLINE"
"1203","Brian McNamara",NA,2016,"Chief Executive Officer - GSK Consumer Healthcare","GSK","GLAXOSMITHKLINE"
"1204","Luke Miels",NA,2017,"President - Global Pharmaceuticals","GSK","GLAXOSMITHKLINE"
"1205","Regis Simard",NA,2018,"President - Pharmaceutical Supply Chain","GSK","GLAXOSMITHKLINE"
"1206","Phil Thomson",NA,2017,"President - Global Affairs","GSK","GLAXOSMITHKLINE"
"1207","James Ford",NA,2018,"Senior Vice President, General Counsel","GSK","GLAXOSMITHKLINE"
"1208","Claire Thomas",NA,2008,"Senior Vice President - Human Resources","GSK","GLAXOSMITHKLINE"
"1209","Nick Hirons",NA,2014,"Senior Vice President – Global Ethics and Compliance","GSK","GLAXOSMITHKLINE"
"1210","Karenann Terrell",NA,2017,"Chief Digital & Technology Officer","GSK","GLAXOSMITHKLINE"
"1211","Hal Barron",56,2018,"Chief Scientific Officer, President - Research & Development, Executive Director","GSK","GLAXOSMITHKLINE"
"1212","David Redfern",NA,2008,"Chief Strategy Officer","GSK","GLAXOSMITHKLINE"
"1213","Victoria Whyte",NA,2011,"Company Secretary","GSK","GLAXOSMITHKLINE"
"1214","Marvinder Banga",64,2016,"Senior Non-Executive Independent Director","GSK","GLAXOSMITHKLINE"
"1215","Vivienne Cox",60,2017,"Non-Executive Independent Director","GSK","GLAXOSMITHKLINE"
"1216","Lynn Elsenhans",62,2012,"Non-Executive Independent Director","GSK","GLAXOSMITHKLINE"
"1217","Laurie Glimcher",67,2017,"Non-Executive Independent Director","GSK","GLAXOSMITHKLINE"
"1218","Jesse Goodman",67,2017,"Non-Executive Independent Director","GSK","GLAXOSMITHKLINE"
"1219","Judy Lewent",70,2011,"Non-Executive Independent Director","GSK","GLAXOSMITHKLINE"
"1220","Urs Rohner",60,2015,"Non-Executive Independent Director","GSK","GLAXOSMITHKLINE"
"1221","Anthony Hayward",61,2013,"Non-Executive Independent Chairman of the Board","GLEN","GLENCORE"
"1222","Ivan Glasenberg",62,2018,"Chief Executive Officer, Executive Director","GLEN","GLENCORE"
"1223","Steven Kalmin",49,2005,"Chief Financial Officer","GLEN","GLENCORE"
"1224","Alex Sanna",NA,2019,"Head of Oil","GLEN","GLENCORE"
"1225","John Burton",54,2011,"Company Secretary","GLEN","GLENCORE"
"1226","Peter Coates",73,2014,"Non-Executive Director","GLEN","GLENCORE"
"1227","Leonhard Fischer",56,2011,"Independent Non-Executive Director","GLEN","GLENCORE"
"1228","Martin Gilbert",64,2018,"Senior Non-Executive Independent Director","GLEN","GLENCORE"
"1229","John Mack",74,2013,"Independent Non-Executive Director","GLEN","GLENCORE"
